2026-09-23 09:47:43 | DEBUG    | modules.blink_detector | Blink #53 confirmed (was closed for 2 frames).
2026-09-23 09:47:43 | DEBUG    | modules.blink_detector | Blink #54 confirmed (was closed for 2 frames).
2026-09-23 09:47:43 | DEBUG    | modules.blink_detector | Blink #55 confirmed (was closed for 3 frames).
2026-09-23 09:47:44 | DEBUG    | modules.blink_detector | Blink #56 confirmed (was closed for 4 frames).
2026-09-23 09:47:44 | DEBUG    | modules.blink_detector | Blink #57 confirmed (was closed for 11 frames).
2026-09-23 09:47:44 | DEBUG    | modules.blink_detector | Blink #58 confirmed (was closed for 5 frames).
2026-09-23 09:47:45 | DEBUG    | modules.blink_detector | Blink #59 confirmed (was closed for 9 frames).
2026-09-23 09:47:45 | DEBUG    | modules.blink_detector | Blink #60 confirmed (was closed for 3 frames).
2026-09-23 09:47:45 | DEBUG    | modules.blink_detector | Blink #61 confirmed (was closed for 7 frames).
2026-09-23 09:47:45 | DEBUG    | modules.blink_detector | Blink #62 confirmed (was closed for 2 frames).
2026-09-23 09:47:45 | DEBUG    | modules.blink_detector | Blink #63 confirmed (was closed for 7 frames).
2026-09-23 09:47:46 | DEBUG    | modules.blink_detector | Blink #64 confirmed (was closed for 4 frames).
2026-09-23 09:47:46 | DEBUG    | modules.blink_detector | Blink #65 confirmed (was closed for 8 frames).
2026-09-23 09:47:46 | DEBUG    | modules.blink_detector | Blink #66 confirmed (was closed for 10 frames).
2026-09-23 09:47:46 | DEBUG    | modules.blink_detector | Blink #67 confirmed (was closed for 5 frames).
2026-09-23 09:47:47 | DEBUG    | modules.blink_detector | Blink #68 confirmed (was closed for 3 frames).
2026-09-23 09:47:47 | DEBUG    | modules.blink_detector | Blink #69 confirmed (was closed for 3 frames).
2026-09-23 09:47:47 | DEBUG    | modules.blink_detector | Blink #70 confirmed (was closed for 2 frames).
2026-09-23 09:47:48 | DEBUG    | modules.blink_detector | Blink #71 confirmed (was closed for 11 frames).
2026-09-23 09:47:48 | WARNING  | modules.blink_detector | Prolonged eye closure detected (15 consecutive frames below EAR threshold).
2026-09-23 09:47:48 | WARNING  | modules.alarm | ALARM TRIGGERED: fatigue_score=71.8 >= threshold=70.0
2026-09-23 09:47:48 | DEBUG    | modules.blink_detector | Blink #72 confirmed (was closed for 19 frames).
2026-09-23 09:47:49 | DEBUG    | modules.blink_detector | Blink #73 confirmed (was closed for 11 frames).
2026-09-23 09:47:54 | DEBUG    | modules.blink_detector | Blink #74 confirmed (was closed for 13 frames).
2026-09-23 09:47:55 | DEBUG    | modules.blink_detector | Blink #75 confirmed (was closed for 2 frames).
2026-09-23 09:47:55 | DEBUG    | modules.blink_detector | Blink #76 confirmed (was closed for 5 frames).
2026-09-23 09:47:57 | WARNING  | modules.blink_detector | Prolonged eye closure detected (15 consecutive frames below EAR threshold).
2026-09-23 09:47:57 | DEBUG    | modules.blink_detector | Blink #77 confirmed (was closed for 18 frames).
2026-09-23 09:47:58 | INFO     | __main__ | Quit key pressed. Shutting down.
2026-09-23 09:47:58 | INFO     | modules.camera | Camera device released.
2026-09-23 09:47:58 | INFO     | modules.face_detector | FaceDetector resources released.
2026-09-23 09:47:58 | INFO     | modules.face_mesh | FaceMeshDetector resources released.
2026-09-23 09:47:58 | INFO     | modules.alarm | AlarmSystem shut down.
2026-09-23 09:47:58 | INFO     | __main__ | Debug mode finished cleanly.
